cf_class_id,Anon Student Id,Session Id,0
c10,s147,ixay8co62dc-c8wns2d8fqooxx8:1668457951932,40
c10,s147,jjmb5_f15clsc7nkbnlmh-9sv44:1666293817676,448
c10,s147,joi6lurbs-m0opxj-xljczehl6i:1664479021553,127
c10,s147,ni1wxqrfpyw82x00ja0i8ee743s:1662491048415,309
c10,s147,nlwma380kxb1reuoxemy6gbeqas:1663958773541,87
c10,s147,nvw3ppe_zcjmy0y8kf422wolaim:1661194306929,159
c10,s147,oavf1c5vbl8ilwbcvz5ea8xmd2s:1667502949388,168
c10,s147,oz8zj51jmlahn17oyjqmsl_ig8i:1670616894405,485
c10,s147,pnibgtqbzbz753foaqeky7fcg3g:1665083885101,8
c10,s147,pulcdb64xso-fa14xr6v9gskgf0:1662663113183,37
c10,s147,rtznu9rnttxzzwsdvpyhsovj2rg:1670271634305,127
c10,s147,sgdlmpspead76q94wl2xtvybijo:1663960895664,276
c10,s147,tiwyu3fthdyopbtehfcfruxv4h4:1668717928255,304
c10,s147,tudq3wwvsoa7b2dpz-on0gn4u_a:1661541756378,36
c10,s147,tzjq8nszjo1khoymo2260cdlrle:1668543667668,331
c10,s147,utlzbydte-jfaoft0ggdji_asau:1670876769529,279
c10,s147,vodq_ctsxka8rvg6vwx3n5j1lry:1666725953462,158
c10,s147,vykcwafvscg3epka1y_howvpwby:1669925751725,301
c10,s147,w81mi-gg4hkm94nfrmtyyvcaq0c:1667331024205,107
c10,s147,wf4hmgadshumlivqyj1stmm9iv8:1665688760291,109
c10,s147,z_brk-t1nz0mziiquj_gfco5nog:1666724667938,93
c10,s155,2b1rht36vybojixvidbjz7dhqj8:1667331121109,64
c10,s155,3sv69u6yjum7j0ziy7gzpvzlz_i:1661801284131,14
c10,s155,92ko23b2fqyypnxia_hyoikxoxk:1663958826240,7
c10,s155,_lwjztufwourzd9d-lbrzjk395m:1660676185369,2
c10,s155,brosn2pprdaycorbvk5_10kylq4:1666293779983,429
c10,s155,bx-4maobtjj17idpvyijnjzcxw8:1661194254564,11
c10,s155,ccjykq8ovduoxmt2t2doatq-cu8:1662490665481,19
c10,s155,fhrf6wajuq9ctiugen-naal9wbo:1661280563598,3
c10,s155,irwe49adw4ttudy15og1rkpatyg:1666897370505,56
c10,s155,kn96a8wc-cxftvokxd0zxqtgusm:1660592652650,26
c10,s155,l1uv8n4rvmpuwe5gdsuthkw8cyk:1661197590412,51
c10,s155,makufrkb1aiho5bdcnsems0uago:1666725128936,225
c10,s155,o8dm9nf4zh8y9edpiecftjx45zw:1664308085790,2
c10,s155,rszenpsgiwhrzefwdgeb6ylpqck:1664478730386,17
c10,s155,ulfwcuyjhlyfck31anwtdj8fgek:1660937805367,16
c10,s155,uwxeh6xwdfkmikzkogu4txjtcck:1663269978216,6
c10,s155,wbb8ip19tq4fh-eozqmlt3bvduy:1663960772575,25
c10,s155,zqux0izpckdffyrckmei1zw61zs:1670618072185,153
c10,s170,6roxkq5_ierojyvivtqzcyrunz8:1663875552427,32
c10,s170,_cu2nhbbnyxq4vikqwb-dcw-psi:1664911840245,8
c10,s170,iqsebsbtrnbvrion2cw8lcaptdi:1663703566966,13
c10,s170,mbhjmidykaj4nu6obvmioqrnwaa:1664576990035,10
c10,s170,ogqtd3svxysxkxdoih_ks65kyc4:1660593102373,12
c10,s170,rzszz634ktclsdghjca2cbmfrmw:1664644492520,25
c10,s170,tan1gmpshuhopjpbueueqbwqxq8:1662576684400,73
c10,s177,3qlm7w5ccdfaxd1ck6dz9z55jeo:1663269820994,42
c10,s177,abhvx7o00w8qr-w_pqa6j2vpurg:1661194038583,61
c10,s177,efwevrf7xyyfrfnjj7cgvr9vsxc:1667502935682,42
c10,s177,efwevrf7xyyfrfnjj7cgvr9vsxc:1667503260082,222
